City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
74,Saint George,US,37.1041,-113.5841,52.39,27,0,0.0,clear sky,2022-11-17 00:15:08
75,Chumikan,RU,54.7183,135.315,10.22,84,71,13.35,broken clouds,2022-11-17 00:10:37
76,Mahebourg,MU,-20.4081,57.7,67.24,66,1,5.26,clear sky,2022-11-17 00:15:09
77,Acapulco,MX,16.8634,-99.8901,82.22,78,75,3.44,broken clouds,2022-11-17 00:11:03
78,Orange,US,33.7,-117.7675,74.86,13,0,17.27,clear sky,2022-11-17 00:15:10
79,Chokurdakh,RU,70.6333,147.9167,-21.23,99,98,4.41,overcast clouds,2022-11-17 00:15:10
80,Kilindoni,TZ,-7.9139,39.6668,78.87,78,16,10.92,few clouds,2022-11-17 00:15:11
81,Tuatapere,NZ,-46.1333,167.6833,61.99,79,100,5.73,overcast clouds,2022-11-17 00:15:11
82,Kashi,CN,39.4547,75.9797,38.05,39,64,5.86,broken clouds,2022-11-17 00:15:12
83,Antofagasta,CL,-23.65,-70.4,63.68,79,5,5.08,clear sky,2022-11-17 00:12:27
84,Abu Samrah,SY,35.3029,37.1841,56.66,75,49,1.21,scattered clouds,2022-11-17 00:15:12
85,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,43,7.56,scattered clouds,2022-11-17 00:15:13
86,Constitucion,CL,-35.3333,-72.4167,58.32,82,43,13.4,scattered clouds,2022-11-17 00:14:41
87,Bengkulu,ID,-3.8004,102.2655,74.28,95,100,19.46,light rain,2022-11-17 00:15:13
88,Gushikawa,JP,26.3544,127.8686,76.59,71,75,8.05,broken clouds,2022-11-17 00:15:14
89,Shu,KZ,43.5983,73.7614,27.07,89,55,7.27,broken clouds,2022-11-17 00:15:14
90,Avarua,CK,-21.2078,-159.775,78.85,65,75,13.8,broken clouds,2022-11-17 00:14:45
91,Kapaa,US,22.0752,-159.319,80.58,64,40,10.36,scattered clouds,2022-11-17 00:15:16
92,Alta Floresta,BR,-9.8756,-56.0861,72.01,94,97,0.96,overcast clouds,2022-11-17 00:15:16
93,Colares,PT,38.7992,-9.4469,65.75,96,99,18.01,overcast clouds,2022-11-17 00:15:17
94,Bazarnyy Syzgan,RU,53.7512,46.7535,25.2,91,100,8.14,overcast clouds,2022-11-17 00:15:17
95,Cape Town,ZA,-33.9258,18.4232,61.27,73,85,11.01,overcast clouds,2022-11-17 00:15:18
96,Naliya,IN,23.2667,68.8333,75.02,53,0,4.29,clear sky,2022-11-17 00:15:19
97,Skibbereen,IE,51.55,-9.2667,45.1,86,100,8.37,overcast clouds,2022-11-17 00:15:19
98,Ust-Kut,RU,56.7938,105.7672,29.12,90,99,9.93,overcast clouds,2022-11-17 00:15:20
99,Cherskiy,RU,68.75,161.3,1.29,97,100,4.83,light snow,2022-11-17 00:15:20
100,Uruzgan,AF,32.8333,66.0,41.32,41,2,7.92,clear sky,2022-11-17 00:15:21
101,Bintulu,MY,3.1667,113.0333,77.79,91,100,3.6,overcast clouds,2022-11-17 00:15:22
102,Nome,US,64.5011,-165.4064,31.15,80,100,19.57,overcast clouds,2022-11-17 00:14:14
103,Port Hardy,CA,50.6996,-127.4199,44.85,63,35,2.8,scattered clouds,2022-11-17 00:15:23
104,Kasungu,MW,-13.0333,33.4833,68.63,69,7,2.84,clear sky,2022-11-17 00:15:23
105,Pochutla,MX,15.7432,-96.4661,82.22,76,92,3.27,overcast clouds,2022-11-17 00:15:24
