City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Kitangari,TZ,70.32,broken clouds,-10.65,39.3333,Kitangari
410,Ban Chang,TH,82.47,mist,12.7254,101.0553,Ban Chang
412,Banjarmasin,ID,80.74,overcast clouds,-3.3244,114.591,Banjarmasin
422,Patrocinio,BR,72.28,broken clouds,-18.9439,-46.9925,Patrocínio
426,San Rafael,AR,76.28,few clouds,-34.6177,-68.3301,San Rafael
429,Lingao,CN,75.15,scattered clouds,19.9103,109.6859,Lingao County
430,Kampot,KH,80.65,broken clouds,10.6167,104.1833,Krong Kampot
432,Jega,NG,73.69,clear sky,12.2175,4.3792,Jega
436,Praia,CV,77.54,few clouds,14.9215,-23.5087,Praia
437,Tual,ID,83.43,overcast clouds,-5.6667,132.75,Tual
451,Hobyo,SO,81.32,scattered clouds,5.3505,48.5268,Hobyo
454,Buchanan,LR,77.56,light rain,5.8808,-10.0467,Buchanan
460,Minab,IR,76.3,clear sky,27.1467,57.0801,Minab
463,Santa Rosa,PH,85.08,broken clouds,14.3122,121.1114,Santa Rosa
469,Banda Aceh,ID,78.64,overcast clouds,5.5577,95.3222,Banda Aceh
470,Taoudenni,ML,74.17,clear sky,22.6783,-3.9836,Taoudenni
472,Dakar,SN,77.88,broken clouds,14.6937,-17.4441,Dakar
474,Touros,BR,78.71,clear sky,-5.1989,-35.4608,Touros
482,Mahibadhoo,MV,80.58,broken clouds,3.7833,72.9667,Omadhoo
484,Sola,VU,82.13,clear sky,-13.8833,167.55,Sola
486,Xuddur,SO,70.63,scattered clouds,4.1213,43.8894,Xuddur
488,Nishihara,JP,76.66,broken clouds,26.1842,127.7558,Nanjo
491,Rafaela,AR,81.99,few clouds,-31.2503,-61.4867,Rafaela
492,Aitape,PG,85.19,overcast clouds,-3.1374,142.3475,Aitape
494,Gold Coast,AU,76.15,broken clouds,-28.0,153.4333,Gold Coast
499,Japura,ID,75.27,overcast clouds,-0.3167,102.35,Djapoera
502,Eyl,SO,76.68,few clouds,7.9803,49.8164,Eyl
504,Black River,JM,79.47,overcast clouds,18.0264,-77.8487,Luana
511,Ambilobe,MG,72.21,broken clouds,-13.2,49.05,Ambilobe
517,Mabaruma,GY,74.61,overcast clouds,8.2,-59.7833,Mabaruma
518,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Sri Aman
525,Ormond Beach,US,71.08,mist,29.2858,-81.0559,Daytona Beach
526,Christchurch,NZ,71.42,few clouds,-43.5333,172.6333,Christchurch
528,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Abu Dhabi
530,Barretos,BR,75.51,clear sky,-20.5572,-48.5678,Barretos
534,Sibolga,ID,74.61,overcast clouds,1.7427,98.7792,Sibolga
537,Kota Tinggi,MY,80.49,overcast clouds,1.7381,103.8999,Kota Tinggi
538,Estancia,BR,74.17,broken clouds,-11.2683,-37.4383,Estância
541,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,Mount Isa
542,Katobu,ID,79.23,overcast clouds,-4.9408,122.5276,Kampani
543,Rehoboth,,72.28,clear sky,-23.3167,17.0833,Rehoboth
544,Dicabisagan,PH,80.06,moderate rain,17.0818,122.4157,Ilagan
545,Amapa,BR,74.07,overcast clouds,1.0,-52.0,Teresinha
547,Boende,CD,70.0,overcast clouds,-0.2167,20.8667,
548,Maues,BR,82.92,overcast clouds,-3.3836,-57.7186,Maués
549,Balabac,PH,82.42,overcast clouds,7.9868,117.0645,Balabac
551,Caloundra,AU,72.9,broken clouds,-26.8,153.1333,Sunshine Coast
552,Coruripe,BR,76.78,broken clouds,-10.1256,-36.1756,Coruripe
554,Miramar,US,81.0,overcast clouds,25.9873,-80.2323,Hollywood
556,Eha Amufu,NG,74.14,overcast clouds,6.6592,7.7596,Eha Amufu
557,Sawakin,SD,83.43,broken clouds,19.1059,37.3321,Suakin
562,Honiara,SB,84.51,overcast clouds,-9.4333,159.95,Honiara
563,Maturin,VE,76.84,overcast clouds,9.75,-63.1767,Maturin
564,Kismayo,SO,78.35,scattered clouds,-0.3582,42.5454,Kismayo
566,Presidencia Roque Saenz Pena,AR,75.24,clear sky,-26.7852,-60.4388,Presidencia Roque Sáenz Peña
567,Phonhong,LA,72.3,clear sky,18.5007,102.4166,Phônhông
571,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Port Moresby
573,Pontes E Lacerda,BR,79.68,few clouds,-15.2261,-59.3353,Centro
575,Castelo Do Piaui,BR,81.95,scattered clouds,-5.3222,-41.5525,Castelo do Piauí
578,Malakal,SS,75.65,few clouds,9.5334,31.6605,Malakal
586,Coromandel,BR,70.97,scattered clouds,-18.4733,-47.2003,Coromandel
